Sample;W/G Name;Generation;Generation_combinedF0;Original name;Date extraction;Body part;Control;Condition;Fragmented;Storage;WNV;USUV;Water%;Comment_water;Food_larvae;Bloodmeal;WTA conc;Antibiotic;Origin;Taxonomy;Experiment
LS78;W07;F0 2022;F0;WNV-0107;10.07.2024;only abdomen;no;homogenate;no;-20°C;yes;no;1;Arenberg;wild;yes;112;NA;;Culex;LS
LS79;W50;F0 2022;F0;WNV-0750;10.07.2024;only abdomen;no;homogenate;no;-20°C;yes;no;1;Arenberg;wild;yes;72.2;NA;;Culex;LS
LS8;;F8;F8;;10.06.2024;whole mosquito;no;dry;no;-80°C;no;no;0;Tap;cat food;no;183;NA;;Culex;LS
LS80;G42;F0 2022;F0;USUV/GR-1142;10.07.2024;only abdomen;no;homogenate;no;-20°C;no;yes;1;Arenberg;wild;yes;74.7;NA;;Culex;LS
LS81;W34;F0 2022;F0;WNV-0734;10.07.2024;only abdomen;no;homogenate;no;-20°C;yes;no;1;Arenberg;wild;yes;123;NA;;Culex;LS
LS82;G28;F0 2022;F0;USUV/GR-1028;10.07.2024;only abdomen;no;homogenate;no;-20°C;no;yes;1;Arenberg;wild;yes;39.3;NA;;Culex;LS
LS83;W39;F0 2022;F0;WNV-0739;10.07.2024;only abdomen;no;homogenate;no;-20°C;yes;no;1;Arenberg;wild;yes;57.6;NA;;Culex;LS
LS9;;F6;F6;;10.06.2024;whole mosquito;no;dry;yes;-20°C;no;no;0.2;Arenberg;fish food, yeast or cat food;no;148;NA;;Culex;LS
LSNIC1;;;;;06.06.2024;;yes;;;;;;;;;;1.7;NA;;;LS
LSNIC2;;;;;10.06.2024;;yes;;;;;;;;;;1.11;NA;;;LS
LSNIC3;;;;;11.06.2024;;yes;;;;;;;;;;1.84;NA;;;LS
LSNIC7;;;;;09.07.2024;;yes;;;;;;;;;;1.11;NA;;;LS
Antib1;;;;P/S 1;;;no;;;;;;;;;;;yes;;;Antibiotics
Antib2;;;;P/S 2;;;no;;;;;;;;;;;yes;;;Antibiotics
Antib3;;;;P/S 3;;;no;;;;;;;;;;;yes;;;Antibiotics
Antib4;;;;P/S 4;;;no;;;;;;;;;;;yes;;;Antibiotics
Antib5;;;;P/S 5;;;no;;;;;;;;;;;yes;;;Antibiotics
Antib6;;;;P/S 6;;;no;;;;;;;;;;;yes;;;Antibiotics
Antib7;;;;P/S 7;;;no;;;;;;;;;;;yes;;;Antibiotics
Antib8;;;;C 1;;;no;;;;;;;;;;;no;;;Antibiotics
Antib9;;;;C 2;;;no;;;;;;;;;;;no;;;Antibiotics
Antib10;;;;C 3;;;no;;;;;;;;;;;no;;;Antibiotics
Antib11;;;;C 4;;;no;;;;;;;;;;;no;;;Antibiotics
Antib12;;;;C 5;;;no;;;;;;;;;;;no;;;Antibiotics
Antib13;;;;C 6;;;no;;;;;;;;;;;no;;;Antibiotics
Antib14;;;;C 7;;;no;;;;;;;;;;;no;;;Antibiotics
